resort,name,name_en,status,status_code,price_per_person_night,price_display,price_unit,group_total_est,meal_plan,lift_pass_est,lift_pass_4day,recommended_rental_shop,rental_daily_est,total_nights_available,phone,lift_proximity,room_recommendation,area,address,direct_link,notes
Yuzawa & Naeba,石打丸山 スキー場ロッジ (Ishiuchi Maruyama Ski Lodge),Ishiuchi Maruyama Slopeside Lodge,Available / Ski-in Ski-out,AVAILABLE,12500,"¥11,000 ~ ¥17,500",/ person / night,"¥220,000 ~ ¥350,000 (5 guests • 4 nights)",Breakfast included,"1-Day: ¥7,500 | 4-Day: ¥27,000","¥27,000",Salomon Station Naeba (Naeba Prince Hotel (Bldg 4 & 6)),"Standard ¥5,200/d | Powder Demo ¥7,200/d",4,025-783-2222,Ski-in / Ski-out to Ishiuchi Sunrise Express combi lift,Japanese-Western 5-Person Family Room,Ishiuchi Maruyama Ski Resort,新潟県南魚沼市石打1655,https://ishiuchi.or.jp/,Connected to Gala Yuzawa and Yuzawa Kogen. Famous for modern night skiing and snow parks.
Yuzawa & Naeba,苗場プリンスホテル (Naeba Prince Hotel),"Naeba Prince Hotel (1,200 Rooms Mega Resort)",Winter Season Live / Huge Inventory,AVAILABLE,17500,"¥17,500 ~ ¥25,000",/ person / night,"¥350,000 ~ ¥500,000 (5 guests • 4 nights)",Buffet breakfast & ski storage privileges,"1-Day: ¥7,500 | 4-Day: ¥27,000","¥27,000",Salomon Station Naeba (Naeba Prince Hotel (Bldg 4 & 6)),"Standard ¥5,200/d | Powder Demo ¥7,200/d",4,025-789-2211,Direct Ski-in / Ski-out (Naeba high-speed lifts & Dragondola to Kagura),2 Twin/Triple Rooms (Bldg 4 or 6) or Family Suite,Naeba Ski Resort Base,新潟県南魚沼郡湯沢町三国202,https://www.princehotels.co.jp/naeba/,"Japan's largest ski resort hotel with 20+ restaurants, hot springs, and interconnected access to Kagura powder."
Yuzawa & Naeba,越後のお宿 いなもと (Echigo no Oyado Inamoto),Echigo no Oyado Inamoto (2 mins to Shinkansen),Available / Prime Transit,AVAILABLE,12500,"¥11,000 ~ ¥17,500",/ person / night,"¥220,000 ~ ¥350,000 (5 guests • 4 nights)",Breakfast included,"1-Day: ¥7,500 | 4-Day: ¥27,000","¥27,000",Salomon Station Naeba (Naeba Prince Hotel (Bldg 4 & 6)),"Standard ¥5,200/d | Powder Demo ¥7,200/d",4,025-784-2251,2 mins walk from Shinkansen exit; free ski shuttles at doorstep,Japanese Tatami Suite with private bath,Echigo-Yuzawa Station West Exit,新潟県南魚沼郡湯沢町湯沢2497,https://www.oyado-inamoto.jp/,Ideal for groups wanting zero transit hassle after getting off the bullet train from Tokyo.
Yuzawa & Naeba,越後湯澤 HATAGO 井仙 (Ryokan Hatago Isen),Ryokan Hatago Isen (Premier Gourmet & Onsen),Available / Shinkansen Doorstep,AVAILABLE,26000,"¥26,000 ~ ¥38,000",/ person / night,"¥520,000 ~ ¥760,000 (5 guests • 4 nights)",Half-Board (Uonuma Koshihikari seasonal gastronomy),"1-Day: ¥7,500 | 4-Day: ¥27,000","¥27,000",Salomon Station Naeba (Naeba Prince Hotel (Bldg 4 & 6)),"Standard ¥5,200/d | Powder Demo ¥7,200/d",4,025-784-3361,"1 min walk to Shinkansen; free shuttles to Gala Yuzawa, Kagura & Naeba",Japanese Tatami Suite (Sleeps 5 comfortably),Echigo-Yuzawa Station West Exit (1 min walk),新潟県南魚沼郡湯沢町大字湯沢2455,https://hatago-isen.jp/,Celebrated for local slow food gastronomy (Uonuma Koshihikari rice) and open-air hot spring baths.
Hakuba Valley,ホテル五龍館,Hotel Goryukan (Happo-one),Available (5-Night Min Rule until Oct 1),UNLOCKING_OCT_1,22000,"¥22,000 ~ ¥32,000",/ person / night,"¥440,000 ~ ¥640,000 (5 guests • 4 nights)",Breakfast buffet & onsen pass,"1-Day: ¥9,200 | 4-Day: ¥33,000","¥33,000","Spicy Rentals Hakuba (8 Stores across Valley (Happo, Wadano, Goryu, Echoland))","Standard ¥5,500/d | Powder Demo ¥7,500/d",4,0261-72-3939,5 mins walk to Happo-one Shirakaba & Gondola,Japanese-Western Family Room or 2 Twin/Double Rooms (3+2),Happo-one Village / Echoland,長野県北安曇郡白馬村,https://reserve.489ban.net/hakuba-nagano/goryukan/0/plan/search?date=2026%2F12%2F29&roomCount=1,"Currently accepting 5+ nights (e.g. Dec 28 - Jan 2). 3-4 night bookings officially unlock on October 1, 2026!"
Nozawa Onsen,野沢温泉 ユートピア,Utopia Lodge Nozawa,Partially Open,PARTIAL,11500,"¥11,500 ~ ¥16,000",/ person / night,"¥230,000 ~ ¥320,000 (5 guests • 4 nights)",Breakfast & morning coffee included,"1-Day: ¥7,300 | 4-Day: ¥26,000","¥26,000",Compass House (Nagasaka Gondola Base (100m walk)),"Standard ¥5,500/d | Powder Demo ¥7,000/d",2,0269-85-2348,5 mins walk to Yu-road (Hikage Moving Walkway),Japanese Tatami (Washitsu 10-12 tatami futons for 5),Nozawa Village / Nagasaka / Hikage,長野県下高井郡野沢温泉村,https://reserve.489ban.net/group/client/nozawakanko/0/plan?customer=3274,Popular ski pension close to Yu-road moving walkway.
Nozawa Onsen,野沢温泉観光協会 宿泊手配デスク (Village Matching Service),Nozawa Tourism Bureau Direct Lodging Clearinghouse,Inquiry / Matching Available,INQUIRY,10500,"¥9,500 ~ ¥15,000",/ person / night,"¥190,000 ~ ¥300,000 (5 guests • 4 nights)",Japanese home-style breakfast included,"1-Day: ¥7,300 | 4-Day: ¥26,000","¥26,000",Compass House (Nagasaka Gondola Base (100m walk)),"Standard ¥5,500/d | Powder Demo ¥7,000/d",4,0269-85-3155,Village wide (Central shuttle / Nagasaka base),Custom village matching for 5 adults across 200+ local minshukus,Nozawa Onsen Mountain Resort Tourism Bureau,長野県下高井郡野沢温泉村大字豊郷5043-3,https://docs.google.com/forms/d/e/1FAIpQLSdV7vpETa9Yu9dwJB-92oyWYr7ibMgYvO5ZIThRy5PzGfecGg/viewform?usp=sharing&ouid=112515000462406041687,Village association manual matchmaking for private ryokans/minshukus not listed on online OTAs.
Hakuba Valley,アルペンブリック入山登,Alpenblick Iriyamato,Not Opened / Fully Booked,UNAVAILABLE,12000,"¥10,500 ~ ¥16,500",/ person / night,"¥210,000 ~ ¥330,000 (5 guests • 4 nights)",Breakfast included,"1-Day: ¥9,200 | 4-Day: ¥33,000","¥33,000","Spicy Rentals Hakuba (8 Stores across Valley (Happo, Wadano, Goryu, Echoland))","Standard ¥5,500/d | Powder Demo ¥7,500/d",0,0261-72-2430,5-10 mins shuttle to Happo / Goryu base,Japanese-Western Family Room or 2 Twin/Double Rooms (3+2),Happo-one Village / Echoland,長野県北安曇郡白馬村,https://reserve.489ban.net/group/client/hakuba-nagano/0/plan?customer=2109,Japanese ski lodge with gear drying room.
Hakuba Valley,オーク ヴィレッジ,Oak Village Chalets,Not Opened / Fully Booked,UNAVAILABLE,25000,"¥22,000 ~ ¥38,000",/ person / night,"¥440,000 ~ ¥760,000 (5 guests • 4 nights)",Self-catering Luxury Chalet,"1-Day: ¥9,200 | 4-Day: ¥33,000","¥33,000","Spicy Rentals Hakuba (8 Stores across Valley (Happo, Wadano, Goryu, Echoland))","Standard ¥5,500/d | Powder Demo ¥7,500/d",0,0261-72-5151,5-10 mins shuttle to Happo / Goryu base,Japanese-Western Family Room or 2 Twin/Double Rooms (3+2),Wadano Woods / Happo North,長野県北安曇郡白馬村,https://reserve.489ban.net/group/client/hakuba-nagano/0/plan?customer=2111,Standalone luxury timber chalets in Wadano Woods.
Hakuba Valley,ベルクトール丸北,Berktour Marukita,Not Opened / Fully Booked,UNAVAILABLE,22000,"¥20,000 ~ ¥32,000",/ person / night,"¥400,000 ~ ¥640,000 (5 guests • 4 nights)",Breakfast included,"1-Day: ¥9,200 | 4-Day: ¥33,000","¥33,000","Spicy Rentals Hakuba (8 Stores across Valley (Happo, Wadano, Goryu, Echoland))","Standard ¥5,500/d | Powder Demo ¥7,500/d",0,0261-72-2111,5-10 mins shuttle to Happo / Goryu base,Japanese-Western Family Room or 2 Twin/Double Rooms (3+2),Happo-one Village / Echoland,長野県北安曇郡白馬村,https://reserve.489ban.net/group/client/hakuba-nagano/0/plan?customer=2106,Happo onsen lodge convenient for ski bus transfers.
Hakuba Valley,ホテル オークフォレスト,Hotel Oak Forest (Wadano Woods),Not Opened / Fully Booked,UNAVAILABLE,24000,"¥22,000 ~ ¥36,000",/ person / night,"¥440,000 ~ ¥720,000 (5 guests • 4 nights)",Breakfast & onsen included,"1-Day: ¥9,200 | 4-Day: ¥33,000","¥33,000","Spicy Rentals Hakuba (8 Stores across Valley (Happo, Wadano, Goryu, Echoland))","Standard ¥5,500/d | Powder Demo ¥7,500/d",0,0261-72-3511,2 mins ski shuttle to Kokusai lift (Wadano),Japanese-Western Family Room or 2 Twin/Double Rooms (3+2),Wadano Woods / Happo North,長野県北安曇郡白馬村,https://reserve.489ban.net/group/client/hakuba-nagano/0/plan?customer=2110,Serene forest retreat in Wadano near Kokusai slope.
Hakuba Valley,ホテル　ステラベラ,Hotel Stella Bella,Not Opened / Fully Booked,UNAVAILABLE,22000,"¥20,000 ~ ¥32,000",/ person / night,"¥400,000 ~ ¥640,000 (5 guests • 4 nights)",Breakfast included,"1-Day: ¥9,200 | 4-Day: ¥33,000","¥33,000","Spicy Rentals Hakuba (8 Stores across Valley (Happo, Wadano, Goryu, Echoland))","Standard ¥5,500/d | Powder Demo ¥7,500/d",0,0261-75-2214,5-10 mins shuttle to Happo / Goryu base,Japanese-Western Family Room or 2 Twin/Double Rooms (3+2),Happo-one Village / Echoland,長野県北安曇郡白馬村,https://reserve.489ban.net/group/client/hakuba-nagano/0/plan?customer=2107,Hakuba Goryu base hotel with famous Miso barrel hot tubs.
Hakuba Valley,ホテル　対岳館,Hotel Taigakukan,Not Opened / Fully Booked,UNAVAILABLE,23000,"¥21,000 ~ ¥35,000",/ person / night,"¥420,000 ~ ¥700,000 (5 guests • 4 nights)",Breakfast & onsen included,"1-Day: ¥9,200 | 4-Day: ¥33,000","¥33,000","Spicy Rentals Hakuba (8 Stores across Valley (Happo, Wadano, Goryu, Echoland))","Standard ¥5,500/d | Powder Demo ¥7,500/d",0,0261-72-2001,3-7 mins walk to Happo-one base lifts,Japanese-Western Family Room or 2 Twin/Double Rooms (3+2),Happo-one Village / Echoland,長野県北安曇郡白馬村,https://reserve.489ban.net/group/client/hakuba-nagano/0/plan?customer=2101,Historic ski hotel in central Happo village.
Hakuba Valley,レストラン＆ホテル トロイメライ,Restaurant & Hotel Traumerei,Not Opened / Fully Booked,UNAVAILABLE,25000,"¥23,000 ~ ¥38,000",/ person / night,"¥460,000 ~ ¥760,000 (5 guests • 4 nights)",Gourmet French dinner & breakfast,"1-Day: ¥9,200 | 4-Day: ¥33,000","¥33,000","Spicy Rentals Hakuba (8 Stores across Valley (Happo, Wadano, Goryu, Echoland))","Standard ¥5,500/d | Powder Demo ¥7,500/d",0,0261-72-5120,2 mins ski shuttle to Kokusai lift (Wadano),Japanese-Western Family Room or 2 Twin/Double Rooms (3+2),Wadano Woods / Happo North,長野県北安曇郡白馬村,https://reserve.489ban.net/group/client/hakuba-nagano/0/plan?customer=2104,Chic European mountain manor in Wadano Woods.
Hakuba Valley,信州白馬八方温泉しろうま荘,Hakuba Happo Shiroumaso,Not Opened / Fully Booked,UNAVAILABLE,23000,"¥21,000 ~ ¥35,000",/ person / night,"¥420,000 ~ ¥700,000 (5 guests • 4 nights)",Breakfast & onsen included,"1-Day: ¥9,200 | 4-Day: ¥33,000","¥33,000","Spicy Rentals Hakuba (8 Stores across Valley (Happo, Wadano, Goryu, Echoland))","Standard ¥5,500/d | Powder Demo ¥7,500/d",0,0261-72-2121,3-7 mins walk to Happo-one base lifts,Japanese-Western Family Room or 2 Twin/Double Rooms (3+2),Happo-one Village / Echoland,長野県北安曇郡白馬村,https://reserve.489ban.net/group/client/hakuba-nagano/0/plan?customer=2103,Award-winning Japanese hospitality inn close to Happo Gondola.
Hakuba Valley,山田屋旅館,Yamadaya Ryokan,Not Opened / Fully Booked,UNAVAILABLE,13500,"¥12,000 ~ ¥18,500",/ person / night,"¥240,000 ~ ¥370,000 (5 guests • 4 nights)",Breakfast included,"1-Day: ¥9,200 | 4-Day: ¥33,000","¥33,000","Spicy Rentals Hakuba (8 Stores across Valley (Happo, Wadano, Goryu, Echoland))","Standard ¥5,500/d | Powder Demo ¥7,500/d",0,0261-72-2055,5-10 mins shuttle to Happo / Goryu base,Japanese-Western Family Room or 2 Twin/Double Rooms (3+2),Happo-one Village / Echoland,長野県北安曇郡白馬村,https://reserve.489ban.net/group/client/hakuba-nagano/0/plan?customer=2102,Traditional onsen ryokan near Happo bus terminal.
Hakuba Valley,白馬・八方温泉「八方館」,Happokan Onsen Ryokan,Not Opened / Fully Booked,UNAVAILABLE,23000,"¥21,000 ~ ¥35,000",/ person / night,"¥420,000 ~ ¥700,000 (5 guests • 4 nights)",Breakfast & onsen included,"1-Day: ¥9,200 | 4-Day: ¥33,000","¥33,000","Spicy Rentals Hakuba (8 Stores across Valley (Happo, Wadano, Goryu, Echoland))","Standard ¥5,500/d | Powder Demo ¥7,500/d",0,0261-72-2008,3-7 mins walk to Happo-one base lifts,Japanese-Western Family Room or 2 Twin/Double Rooms (3+2),Happo-one Village / Echoland,長野県北安曇郡白馬村,https://reserve.489ban.net/group/client/hakuba-nagano/0/plan?customer=2105,Happo onsen hot spring bath with ski storage.
Hakuba Valley,白馬五竜ペンションくるみ,Hakuba Goryu Pension Kurumi,Not Opened / Fully Booked,UNAVAILABLE,12500,"¥11,000 ~ ¥17,500",/ person / night,"¥220,000 ~ ¥350,000 (5 guests • 4 nights)",Breakfast included,"1-Day: ¥9,200 | 4-Day: ¥33,000","¥33,000","Spicy Rentals Hakuba (8 Stores across Valley (Happo, Wadano, Goryu, Echoland))","Standard ¥5,500/d | Powder Demo ¥7,500/d",0,0261-75-2988,5-10 mins shuttle to Happo / Goryu base,Japanese-Western Family Room or 2 Twin/Double Rooms (3+2),Hakuba Goryu / Kamishiro,長野県北安曇郡白馬村,https://reserve.489ban.net/group/client/hakuba-nagano/0/plan?customer=2108,Family pension near Goryu Escal Plaza base.
Nozawa Onsen,Gasthof SchiHeil,Gasthof SchiHeil,Not Opened / Fully Booked,UNAVAILABLE,12500,"¥11,000 ~ ¥17,500",/ person / night,"¥220,000 ~ ¥350,000 (5 guests • 4 nights)",Breakfast included,"1-Day: ¥7,300 | 4-Day: ¥26,000","¥26,000",Compass House (Nagasaka Gondola Base (100m walk)),"Standard ¥5,500/d | Powder Demo ¥7,000/d",0,0269-85-2516,Village center (5-10 mins to Yu-road / Shuttle),Japanese Tatami (Washitsu 10-12 tatami futons for 5),Nozawa Village / Nagasaka / Hikage,長野県下高井郡野沢温泉村,https://reserve.489ban.net/group/client/nozawakanko/0/plan?customer=1007,Classic ski lodge steps from Hikage ski run.
Nozawa Onsen,ホテル ハウスサンアントン,Hotel Haus St. Anton,Not Opened / Fully Booked,UNAVAILABLE,24000,"¥22,000 ~ ¥35,000",/ person / night,"¥440,000 ~ ¥700,000 (5 guests • 4 nights)",Breakfast included,"1-Day: ¥7,300 | 4-Day: ¥26,000","¥26,000",Compass House (Nagasaka Gondola Base (100m walk)),"Standard ¥5,500/d | Powder Demo ¥7,000/d",0,0269-85-3597,Village center (5-10 mins to Yu-road / Shuttle),Japanese Tatami (Washitsu 10-12 tatami futons for 5),Nozawa Village / Nagasaka / Hikage,長野県下高井郡野沢温泉村,https://reserve.489ban.net/group/client/nozawakanko/0/plan?customer=1006,Austrian-style alpine boutique hotel on the main village walking street.
Nozawa Onsen,ロッジでんべえ,Lodge Denbey,Not Opened / Fully Booked,UNAVAILABLE,15500,"¥14,000 ~ ¥22,000",/ person / night,"¥280,000 ~ ¥440,000 (5 guests • 4 nights)",Half-Board included,"1-Day: ¥7,300 | 4-Day: ¥26,000","¥26,000",Compass House (Nagasaka Gondola Base (100m walk)),"Standard ¥5,500/d | Powder Demo ¥7,000/d",0,0269-85-3838,Ski-in / Ski-out (Yamabiko slope),Japanese Tatami (Washitsu 10-12 tatami futons for 5),Nozawa Village / Nagasaka / Hikage,長野県下高井郡野沢温泉村,https://reserve.489ban.net/group/client/nozawakanko/0/plan?customer=1014,Direct ski-in / ski-out lodge on Yamabiko upper mountain slope.
Nozawa Onsen,ロッヂまつや,Lodge Matsuya,Not Opened / Fully Booked,UNAVAILABLE,10500,"¥9,500 ~ ¥15,000",/ person / night,"¥190,000 ~ ¥300,000 (5 guests • 4 nights)",Japanese home-style breakfast included,"1-Day: ¥7,300 | 4-Day: ¥26,000","¥26,000",Compass House (Nagasaka Gondola Base (100m walk)),"Standard ¥5,500/d | Powder Demo ¥7,000/d",0,0269-85-2076,Village center (5-10 mins to Yu-road / Shuttle),Japanese Tatami (Washitsu 10-12 tatami futons for 5),Nozawa Village / Nagasaka / Hikage,長野県下高井郡野沢温泉村,https://reserve.489ban.net/group/client/nozawakanko/0/plan?customer=1008,Warm family-run lodge offering homemade village cooking.
Nozawa Onsen,山のホテル大瀧,Yamanohotel Otaki,Not Opened / Fully Booked,UNAVAILABLE,26000,"¥24,000 ~ ¥38,000",/ person / night,"¥480,000 ~ ¥760,000 (5 guests • 4 nights)",Half-Board (Shinshu beef kaiseki + breakfast),"1-Day: ¥7,300 | 4-Day: ¥26,000","¥26,000",Compass House (Nagasaka Gondola Base (100m walk)),"Standard ¥5,500/d | Powder Demo ¥7,000/d",0,0269-85-3333,Village center (5-10 mins to Yu-road / Shuttle),Japanese Tatami (Washitsu 10-12 tatami futons for 5),Nozawa Village / Nagasaka / Hikage,長野県下高井郡野沢温泉村,https://reserve.489ban.net/group/client/nozawakanko/0/plan?customer=1015,Hillside onsen resort with panoramic hot spring bath.
Nozawa Onsen,常盤屋旅館,Tokiwaya Ryokan,Not Opened / Fully Booked,UNAVAILABLE,28000,"¥26,000 ~ ¥42,000",/ person / night,"¥520,000 ~ ¥840,000 (5 guests • 4 nights)",Half-Board (Kaiseki multi-course + breakfast),"1-Day: ¥7,300 | 4-Day: ¥26,000","¥26,000",Compass House (Nagasaka Gondola Base (100m walk)),"Standard ¥5,500/d | Powder Demo ¥7,000/d",0,0269-85-3128,7-10 mins walk / Village Shuttle to Nagasaka Gondola,Japanese Tatami (Washitsu 10-12 tatami futons for 5),Nozawa Village / Nagasaka / Hikage,長野県下高井郡野沢温泉村,https://reserve.489ban.net/group/client/nozawakanko/0/plan?customer=1002,Historic ryokan housing the sacred Senbannoyu thermal source.
Nozawa Onsen,旅の宿 ちょうちん屋,Tabi no Yado Chochin-ya,Not Opened / Fully Booked,UNAVAILABLE,10500,"¥9,500 ~ ¥15,000",/ person / night,"¥190,000 ~ ¥300,000 (5 guests • 4 nights)",Japanese home-style breakfast included,"1-Day: ¥7,300 | 4-Day: ¥26,000","¥26,000",Compass House (Nagasaka Gondola Base (100m walk)),"Standard ¥5,500/d | Powder Demo ¥7,000/d",0,0269-85-2244,Village center (5-10 mins to Yu-road / Shuttle),Japanese Tatami (Washitsu 10-12 tatami futons for 5),Nozawa Village / Nagasaka / Hikage,長野県下高井郡野沢温泉村,https://reserve.489ban.net/group/client/nozawakanko/0/plan?customer=1009,Cozy minshuku near Oyu public bath.
Nozawa Onsen,旅館　さかや,Ryokan Sakaya (Premier Onsen),Not Opened / Fully Booked,UNAVAILABLE,28000,"¥26,000 ~ ¥42,000",/ person / night,"¥520,000 ~ ¥840,000 (5 guests • 4 nights)",Half-Board (Kaiseki multi-course + breakfast),"1-Day: ¥7,300 | 4-Day: ¥26,000","¥26,000",Compass House (Nagasaka Gondola Base (100m walk)),"Standard ¥5,500/d | Powder Demo ¥7,000/d",0,0269-85-3121,7-10 mins walk / Village Shuttle to Nagasaka Gondola,Japanese Tatami (Washitsu 10-12 tatami futons for 5),Nozawa Village / Nagasaka / Hikage,長野県下高井郡野沢温泉村,https://reserve.489ban.net/group/client/nozawakanko/0/plan?customer=1001,Prestigious 17th-generation hot spring ryokan in village center.
Nozawa Onsen,桐屋旅館,Kiriya Ryokan (Cat & Onsen Inn),Not Opened / Fully Booked,UNAVAILABLE,28000,"¥26,000 ~ ¥42,000",/ person / night,"¥520,000 ~ ¥840,000 (5 guests • 4 nights)",Half-Board (Kaiseki multi-course + breakfast),"1-Day: ¥7,300 | 4-Day: ¥26,000","¥26,000",Compass House (Nagasaka Gondola Base (100m walk)),"Standard ¥5,500/d | Powder Demo ¥7,000/d",0,0269-85-2020,Village center (5-10 mins to Yu-road / Shuttle),Japanese Tatami (Washitsu 10-12 tatami futons for 5),Nozawa Village / Nagasaka / Hikage,長野県下高井郡野沢温泉村,https://reserve.489ban.net/group/client/nozawakanko/0/plan?customer=1004,Beloved traditional inn with resident cats and hot spring baths.
Nozawa Onsen,河一屋旅館,Kawaichiya Ryokan,Not Opened / Fully Booked,UNAVAILABLE,28000,"¥26,000 ~ ¥42,000",/ person / night,"¥520,000 ~ ¥840,000 (5 guests • 4 nights)",Half-Board (Kaiseki multi-course + breakfast),"1-Day: ¥7,300 | 4-Day: ¥26,000","¥26,000",Compass House (Nagasaka Gondola Base (100m walk)),"Standard ¥5,500/d | Powder Demo ¥7,000/d",0,0269-85-4128,7-10 mins walk / Village Shuttle to Nagasaka Gondola,Japanese Tatami (Washitsu 10-12 tatami futons for 5),Nozawa Village / Nagasaka / Hikage,長野県下高井郡野沢温泉村,https://reserve.489ban.net/group/client/nozawakanko/0/plan?customer=1003,Famous for both Shin'yu sulfur water and Makino thermal spring.
Nozawa Onsen,湯宿とうふや,Yuyado Tofuya,Not Opened / Fully Booked,UNAVAILABLE,11000,"¥10,000 ~ ¥15,500",/ person / night,"¥200,000 ~ ¥310,000 (5 guests • 4 nights)",Breakfast included,"1-Day: ¥7,300 | 4-Day: ¥26,000","¥26,000",Compass House (Nagasaka Gondola Base (100m walk)),"Standard ¥5,500/d | Powder Demo ¥7,000/d",0,0269-85-2062,Village center (5-10 mins to Yu-road / Shuttle),Japanese Tatami (Washitsu 10-12 tatami futons for 5),Nozawa Village / Nagasaka / Hikage,長野県下高井郡野沢温泉村,https://reserve.489ban.net/group/client/nozawakanko/0/plan?customer=1012,Historic tofu-maker turned onsen guest house.
Nozawa Onsen,野沢温泉 ロッヂ ハーネンカム,Lodge Hahnenkamm,Not Opened / Fully Booked,UNAVAILABLE,11500,"¥10,500 ~ ¥16,000",/ person / night,"¥210,000 ~ ¥320,000 (5 guests • 4 nights)",Breakfast included,"1-Day: ¥7,300 | 4-Day: ¥26,000","¥26,000",Compass House (Nagasaka Gondola Base (100m walk)),"Standard ¥5,500/d | Powder Demo ¥7,000/d",0,0269-85-3504,Village center (5-10 mins to Yu-road / Shuttle),Japanese Tatami (Washitsu 10-12 tatami futons for 5),Nozawa Village / Nagasaka / Hikage,長野県下高井郡野沢温泉村,https://reserve.489ban.net/group/client/nozawakanko/0/plan?customer=1016,Ski racer lodge right at the Nagasaka gondola base area.
Nozawa Onsen,野沢温泉 千歳館,Chitosekan Ryokan,Not Opened / Fully Booked,UNAVAILABLE,28000,"¥26,000 ~ ¥42,000",/ person / night,"¥520,000 ~ ¥840,000 (5 guests • 4 nights)",Half-Board (Kaiseki multi-course + breakfast),"1-Day: ¥7,300 | 4-Day: ¥26,000","¥26,000",Compass House (Nagasaka Gondola Base (100m walk)),"Standard ¥5,500/d | Powder Demo ¥7,000/d",0,0269-85-2046,Village center (5-10 mins to Yu-road / Shuttle),Japanese Tatami (Washitsu 10-12 tatami futons for 5),Nozawa Village / Nagasaka / Hikage,長野県下高井郡野沢温泉村,https://reserve.489ban.net/group/client/nozawakanko/0/plan?customer=1011,Tangible cultural property wooden ryokan built in the Taisho era.
Nozawa Onsen,野沢温泉 民宿 源六,Minshuku Genroku,Not Opened / Fully Booked,UNAVAILABLE,10500,"¥9,500 ~ ¥15,000",/ person / night,"¥190,000 ~ ¥300,000 (5 guests • 4 nights)",Japanese home-style breakfast included,"1-Day: ¥7,300 | 4-Day: ¥26,000","¥26,000",Compass House (Nagasaka Gondola Base (100m walk)),"Standard ¥5,500/d | Powder Demo ¥7,000/d",0,0269-85-2144,Village center (5-10 mins to Yu-road / Shuttle),Japanese Tatami (Washitsu 10-12 tatami futons for 5),Nozawa Village / Nagasaka / Hikage,長野県下高井郡野沢温泉村,https://reserve.489ban.net/group/client/nozawakanko/0/plan?customer=1013,Authentic tatami lodge with great ski room.
Nozawa Onsen,野沢温泉 畔上館,Azegami-kan Ryokan,Not Opened / Fully Booked,UNAVAILABLE,11500,"¥10,000 ~ ¥16,000",/ person / night,"¥200,000 ~ ¥320,000 (5 guests • 4 nights)",Breakfast included,"1-Day: ¥7,300 | 4-Day: ¥26,000","¥26,000",Compass House (Nagasaka Gondola Base (100m walk)),"Standard ¥5,500/d | Powder Demo ¥7,000/d",0,0269-85-2121,Village center (5-10 mins to Yu-road / Shuttle),Japanese Tatami (Washitsu 10-12 tatami futons for 5),Nozawa Village / Nagasaka / Hikage,長野県下高井郡野沢温泉村,https://reserve.489ban.net/group/client/nozawakanko/0/plan?customer=1010,Traditional washitsu rooms with authentic hospitality.
Nozawa Onsen,野沢温泉ホテル,Nozawa Onsen Hotel,Not Opened / Fully Booked,UNAVAILABLE,28000,"¥26,000 ~ ¥42,000",/ person / night,"¥520,000 ~ ¥840,000 (5 guests • 4 nights)",Half-Board (Kaiseki multi-course + breakfast),"1-Day: ¥7,300 | 4-Day: ¥26,000","¥26,000",Compass House (Nagasaka Gondola Base (100m walk)),"Standard ¥5,500/d | Powder Demo ¥7,000/d",0,0269-85-2011,Village center (5-10 mins to Yu-road / Shuttle),Japanese Tatami (Washitsu 10-12 tatami futons for 5),Nozawa Village / Nagasaka / Hikage,長野県下高井郡野沢温泉村,https://reserve.489ban.net/group/client/nozawakanko/0/plan?customer=1005,Spacious Japanese ryokan with open-air baths.
